time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.5,-0.783206,-2.29123,7.54011,0.8,0.2,1.50802
1,0.050994,-0.266648,1.58821,0.8,0.2,1.82566
1.5,1.27992,1.15318,0.63374,0.8,0.2,1.95241
2,12.0089,10.033,9.87952,0.8,0.2,3.92832
2.5,10.6235,10.8983,-1.37363,0.8,0.2,3.65359
3,8.35193,9.22655,-4.37312,0.8,0.2,2.77897
3.5,0.537717,2.55338,-10.0783,0.8,0.2,0.763303
4,5.38531,4.89525,2.45028,0.8,0.2,1.25336
4.5,-18.7967,-13.933,-24.3187,0.8,0.2,-3.61038
5,-9.81901,-11.0028,5.91918,0.8,0.2,-2.42654
5.5,-8.01691,-8.85675,4.1992,0.8,0.2,-1.5867
6,-7.9588,-8.29706,1.69131,0.8,0.2,-1.24844
6.5,-0.253497,-1.98705,8.66778,0.8,0.2,0.485118
7,8.93876,6.80211,10.6833,0.8,0.2,2.62177
7.5,16.0973,14.5005,7.98433,0.8,0.2,4.21863
8,6.10297,8.20433,-10.5068,0.8,0.2,2.11727
8.5,12.4395,11.8042,3.17655,0.8,0.2,2.75258
9,1.17958,3.57976,-12.0009,0.8,0.2,0.3524
9.5,-9.60784,-6.93508,-13.3638,0.8,0.2,-2.32036
10,-12.2532,-11.4216,-4.15795,0.8,0.2,-3.15195
10.5,-5.18266,-6.74565,7.81493,0.8,0.2,-1.58896
11,-10.1236,-9.60688,-2.58344,0.8,0.2,-2.10565
11.5,-5.30581,-6.37659,5.35389,0.8,0.2,-1.03487
12,2.44479,0.577024,9.33881,0.8,0.2,0.83289
12.5,7.64076,6.3113,6.64729,0.8,0.2,2.16235
13,5.48162,5.8638,-1.91085,0.8,0.2,1.78018
13.5,15.5146,13.7624,8.7607,0.8,0.2,3.53232
14,13.5954,13.982,-1.93325,0.8,0.2,3.14567
14.5,-7.85783,-3.1753,-23.4127,0.8,0.2,-1.53687
15,-5.60537,-5.27304,-1.66164,0.8,0.2,-1.86919
15.5,-12.2539,-11.0446,-6.04624,0.8,0.2,-3.07844
16,-10.667,-11.0503,1.91689,0.8,0.2,-2.69506
16.5,-3.2316,-5.06486,9.16626,0.8,0.2,-0.86181
17,4.00917,2.10818,9.50493,0.8,0.2,1.03918
17.5,5.1995,4.68516,2.57174,0.8,0.2,1.55352
18,-1.63083,-0.21228,-7.09275,0.8,0.2,0.134973
18.5,2.992,2.36464,3.13679,0.8,0.2,0.762331
19,15.5187,12.9641,12.7729,0.8,0.2,3.3169
19.5,-3.879,-0.178693,-18.5016,0.8,0.2,-0.383406
20,8.68219,6.87168,9.05259,0.8,0.2,1.42711
20.5,-3.94712,-1.64065,-11.5324,0.8,0.2,-0.879359
21,-18.4073,-15.1419,-16.3269,0.8,0.2,-4.14475
21.5,-3.94206,-6.5965,13.2722,0.8,0.2,-1.49031
22,-5.84875,-6.14733,1.4929,0.8,0.2,-1.19173
22.5,15.0521,10.6931,21.7953,0.8,0.2,3.16734
23,-0.848493,1.77655,-13.1252,0.8,0.2,0.542292
23.5,7.7794,6.63306,5.7317,0.8,0.2,1.68863
24,-0.626743,0.994081,-8.10412,0.8,0.2,0.0678085
