time,position
0,13.1181
0.5,-7.19764
1,-12.8165
1.5,-2.44686
2,-11.4811
2.5,7.60041
3,4.95148
3.5,3.60555
4,19.7716
4.5,-19.0589
5,5.09311
5.5,0.0812632
6,-19.7677
6.5,17.1502
7,-1.31218
7.5,6.45246
8,6.08638
8.5,-9.62996
9,7.73629
9.5,-6.54209
10,-17.1101
10.5,19.7119
11,-8.801
11.5,-9.15863
12,18.5847
12.5,-16.3529
13,5.52143
13.5,-0.147735
14,-3.97097
14.5,3.4258
15,-16.0366
15.5,13.9394
16,-1.22243
16.5,-5.39475
17,14.5704
17.5,2.09087
18,-12.0607
18.5,1.23802
19,-3.13276
19.5,-9.66515
20,4.65399
20.5,9.96733
21,8.64699
21.5,-7.74925
22,11.8218
22.5,-15.0585
23,-16.1451
23.5,10.8726
24,-8.89687
24.5,16.6025
25,5.07587
25.5,7.65449
26,-1.17144
26.5,-18.41
27,5.39648
27.5,-8.41527
28,-8.68856
28.5,18.6678
29,6.27368
29.5,-10.9039
30,16.4756
30.5,-20.0201
31,-11.86
31.5,3.03918
32,-3.64429
32.5,19.7068
33,-8.10588
33.5,14.5551
34,2.21389
34.5,-19.17
35,6.06813
35.5,-0.76655
36,-7.75908
36.5,18.5573
37,13.6526
37.5,-6.0091
38,-0.622973
38.5,-13.0946
39,-2.56214
39.5,-6.65549
40,-0.17592
40.5,19.4032
41,-5.10437
41.5,4.36019
42,-1.46004
42.5,-6.27306
43,-10.0953
43.5,-2.3349
44,11.9227
44.5,-5.41276
45,9.65168
45.5,1.14019
46,-1.10207
46.5,-3.68613
47,-7.96263
47.5,5.55646
48,-0.821328
48.5,-7.50132
49,10.8161
49.5,6.85752
50,-16.0639
50.5,16.0384
51,-4.0899
51.5,-8.83275
52,3.25382
52.5,-8.92507
53,12.335
53.5,-11.3027
54,8.95936
54.5,16.5805
55,-16.6783
55.5,-0.78898
56,5.78614
56.5,-17.3811
57,-4.08233
57.5,18.659
58,-1.41588
58.5,7.03741
59,1.96396
59.5,-1.36814
60,-13.5259
60.5,-14.1245
61,12.94
61.5,-2.70104
62,8.49099
62.5,14.27
63,3.74374
63.5,-18.2238
64,-6.02995
64.5,0.0807868
65,-18.8895
65.5,20.4044
66,13.0126
66.5,0.627077
67,6.09383
67.5,-8.08408
68,-14.7011
68.5,-8.28503
69,-0.910582
69.5,11.7888
70,10.5996
70.5,0.479395
71,18.0159
71.5,-18.6868
72,-10.4566
72.5,9.74256
73,-19.4011
73.5,20.8145
74,12.5454
74.5,-0.507884
75,3.82256
75.5,-9.46729
76,-6.48746
76.5,-8.52522
77,-3.39798
77.5,15.4813
78,4.86828
78.5,-5.14423
79,17.1012
79.5,-15.8968
80,-9.32074
80.5,4.48069
81,-5.43319
81.5,6.29142
82,-1.32938
82.5,13.6392
83,-6.58124
83.5,-3.54145
84,3.29827
84.5,-7.87881
85,2.53258
85.5,-5.70994
86,7.27578
86.5,2.56129
87,-5.99634
87.5,8.40564
88,4.38125
88.5,-14.0424
89,6.22906
89.5,-3.7861
90,-8.95339
90.5,11.7863
91,-10.2212
91.5,19.2106
92,-5.60381
92.5,-12.6246
93,21.2158
93.5,-19.0387
94,-3.17861
94.5,15.9987
95,-5.727
95.5,10.6089
96,8.33813
96.5,-3.75033
97,-2.9902
97.5,-19.371
98,4.77697
98.5,9.71306
99,-18.052
99.5,19.4066
