time,position
0,6.578
0.5,-3.57984
1,-6.38929
1.5,-1.20444
2,-5.72159
2.5,3.81917
3,2.49474
3.5,1.82175
4,9.90477
4.5,-9.51052
5,2.56543
5.5,0.0595257
6,-9.86496
6.5,8.59402
7,-0.637108
7.5,3.24508
8,3.06216
8.5,-4.79601
9,3.88703
9.5,-3.25212
10,-8.53609
10.5,9.8749
11,-4.38159
11.5,-4.56038
12,9.31126
12.5,-8.15758
13,2.77961
13.5,-0.0548897
14,-1.96655
14.5,1.73182
15,-7.99934
15.5,6.98866
16,-0.592245
16.5,-2.6784
17,7.30414
17.5,1.0644
18,-6.01145
18.5,0.637956
19,-1.5475
19.5,-4.81365
20,2.34593
20.5,5.0026
21,4.34246
21.5,-3.85568
22,5.92973
22.5,-7.51028
23,-8.05367
23.5,5.45516
24,-4.42943
24.5,8.3201
25,2.55691
25.5,3.84621
26,-0.566845
26.5,-9.18601
27,2.71709
27.5,-4.18875
28,-4.32542
28.5,9.35288
29,3.15585
29.5,-5.43302
30,8.25675
30.5,-9.99105
31,-5.91112
31.5,1.53843
32,-1.80325
32.5,9.8723
33,-4.03392
33.5,7.29644
34,1.1259
34.5,-9.56603
35,3.05296
35.5,-0.364337
36,-3.8607
36.5,9.29762
37,6.84523
37.5,-2.98555
38,-0.292464
38.5,-6.52833
39,-1.26215
39.5,-3.30887
40,-0.0690775
40.5,9.72051
41,-2.53321
41.5,2.19901
42,-0.711025
42.5,-3.11757
43,-5.02882
43.5,-1.14862
44,5.98024
44.5,-2.68747
45,4.84471
45.5,0.589041
46,-0.53213
46.5,-1.82428
47,-3.96227
47.5,2.79707
48,-0.391676
48.5,-3.73168
49,5.42695
49.5,3.44776
50,-8.01305
50.5,8.03807
51,-2.02602
51.5,-4.39754
52,1.64584
52.5,-4.44359
53,6.18646
53.5,-5.63228
54,4.49864
54.5,8.30934
55,-8.32025
55.5,-0.375625
56,2.9122
56.5,-8.67169
57,-2.02216
57.5,9.3484
58,-0.688977
58.5,3.53766
59,1.00083
59.5,-0.66524
60,-6.74397
60.5,-7.04331
61,6.48897
61.5,-1.33161
62,4.26442
62.5,7.15395
63,1.89074
63.5,-9.09292
64,-2.99601
64.5,0.0592611
65,-9.42574
65.5,10.221
66,6.52534
66.5,0.332586
67,3.0657
67.5,-4.02296
68,-7.33157
68.5,-4.12365
69,-0.436363
69.5,5.91332
70,5.31874
70.5,0.258691
71,9.02704
71.5,-9.32446
72,-5.20933
72.5,4.89016
73,-9.68167
73.5,10.4261
74,6.29153
74.5,-0.235056
75,1.93019
75.5,-4.71485
76,-3.22472
76.5,-4.24374
77,-1.68012
77.5,7.75959
78,2.45299
78.5,-2.5533
79,8.56957
79.5,-7.92946
80,-4.6415
80.5,2.25921
81,-2.69764
81.5,3.16472
82,-0.64582
82.5,6.83853
83,-3.27152
83.5,-1.75193
84,1.66807
84.5,-3.92045
85,1.28517
85.5,-2.83618
86,3.6569
86.5,1.29968
87,-2.97928
87.5,4.22174
88,2.20972
88.5,-7.0023
89,3.13331
89.5,-1.87399
90,-4.4577
90.5,5.91219
91,-5.09181
91.5,9.6243
92,-2.78299
92.5,-6.29347
93,10.6269
93.5,-9.50041
94,-1.57052
94.5,8.01828
95,-2.84462
95.5,5.32335
96,4.18796
96.5,-1.85597
97,-1.47617
97.5,-9.66663
98,2.40717
98.5,4.87525
99,-9.0071
99.5,9.72229
