time,measured_position,estimated_position
0.1,-37.7934,-24.7231
0.2,20.4678,11.1682
0.3,4.89369,6.07318
0.4,27.6185,23.2105
0.5,-37.3925,-25.2827
0.6,20.9719,11.4679
0.7,4.99367,6.22557
0.8,27.6764,23.2987
0.9,-36.9897,-24.9321
1,21.4668,11.9458
1.1,5.08464,6.40611
1.2,27.7315,23.3892
1.3,-36.586,-24.5813
1.4,21.952,12.4149
1.5,5.16605,6.5761
1.6,27.7839,23.4744
1.7,-36.1815,-24.232
1.8,22.4275,12.8749
1.9,5.2381,6.7358
2,27.8334,23.5543
2.1,-35.7757,-23.8837
2.2,22.8927,13.3255
2.3,5.30059,6.88505
2.4,27.8802,23.6289
2.5,-35.3713,-23.5385
2.6,23.3472,13.7662
2.7,5.35376,7.02402
2.8,27.9234,23.6979
2.9,-34.9653,-23.1938
3,23.7908,14.1973
3.1,5.39621,7.15174
3.2,27.9643,23.762
3.3,-34.5607,-22.8519
3.4,24.2234,14.6184
3.5,5.4295,7.26946
3.6,28.0017,23.8206
3.7,-34.1566,-22.5122
3.8,24.6442,15.029
3.9,5.45218,7.37596
4,28.036,23.874
4.1,-33.7537,-22.175
4.2,25.0533,15.4293
4.3,5.46472,7.47172
4.4,28.067,23.9219
4.5,-33.3527,-21.8409
4.6,25.4492,15.8178
4.7,5.46841,7.55752
4.8,28.0947,23.9647
4.9,-32.954,-21.5102
5,25.8332,16.1957
5.1,5.46276,7.63328
5.2,28.1184,24.0019
5.3,-32.5566,-21.182
5.4,26.2049,16.5629
5.5,5.44405,7.69601
5.6,28.1396,24.0341
5.7,-32.1615,-20.8571
5.8,26.5626,16.9179
5.9,5.41765,7.74978
6,28.1568,24.0608
6.1,-31.7717,-20.5378
6.2,26.9064,17.2603
6.3,5.3784,7.79038
6.4,28.1709,24.0821
6.5,-31.3824,-20.2204
6.6,27.2373,17.5916
6.7,5.33143,7.82228
6.8,28.1809,24.0982
6.9,-30.9989,-19.9089
7,27.5526,17.9092
7.1,5.27511,7.84363
7.2,28.1867,24.1084
7.3,-30.6155,-19.5988
7.4,27.8548,18.2157
7.5,5.20831,7.85414
7.6,28.1898,24.1141
7.7,-30.2378,-19.2944
7.8,28.1421,18.5089
7.9,5.12478,7.84836
8,28.1898,24.1138
8.1,-29.8656,-18.9959
8.2,28.4154,18.7895
8.3,5.03634,7.8359
8.4,28.1832,24.1067
8.5,-29.4955,-18.7006
8.6,28.6723,19.0563
8.7,4.9402,7.81431
8.8,28.1757,24.0968
8.9,-29.135,-18.4137
9,28.9169,19.3114
9.1,4.82814,7.77745
9.2,28.1643,24.0806
9.3,-28.7749,-18.1285
9.4,29.1443,19.5522
9.5,4.70871,7.73168
9.6,28.1492,24.0595
9.7,-28.4201,-17.8486
9.8,29.3557,19.779
9.9,4.57623,7.6725
