time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.5,-0.392735,-1.14674,3.77,0.8,0.2,0.754001
1,0.0244138,-0.134416,0.794149,0.8,0.2,0.912831
1.5,0.638847,0.575477,0.316848,0.8,0.2,0.9762
2,6.00335,5.0154,4.93977,0.8,0.2,1.96415
2.5,5.31067,5.44803,-0.686803,0.8,0.2,1.82679
3,4.17488,4.61219,-2.18654,0.8,0.2,1.38949
3.5,0.267796,1.27562,-5.03914,0.8,0.2,0.381658
4,2.69158,2.44656,1.22513,0.8,0.2,0.626683
4.5,-9.39948,-6.96761,-12.1594,0.8,0.2,-1.80519
5,-4.91057,-5.5025,2.95963,0.8,0.2,-1.21327
5.5,-4.00958,-4.42949,2.09956,0.8,0.2,-0.793355
6,-3.98046,-4.1496,0.845708,0.8,0.2,-0.624214
6.5,-0.12787,-0.994637,4.33384,0.8,0.2,0.242553
7,4.46826,3.39993,5.34162,0.8,0.2,1.31088
7.5,8.04758,7.24914,3.99221,0.8,0.2,2.10932
8,3.05037,4.10105,-5.25343,0.8,0.2,1.05863
8.5,6.21871,5.90104,1.58834,0.8,0.2,1.3763
9,0.588693,1.78879,-6.0005,0.8,0.2,0.176201
9.5,-4.805,-3.46862,-6.68189,0.8,0.2,-1.16018
10,-6.12768,-5.71189,-2.07897,0.8,0.2,-1.57597
10.5,-2.59238,-3.37388,3.90749,0.8,0.2,-0.794474
11,-5.06288,-4.80452,-1.29176,0.8,0.2,-1.05283
11.5,-2.65405,-3.18943,2.67689,0.8,0.2,-0.517448
12,1.22133,0.287435,4.66948,0.8,0.2,0.416449
12.5,3.81935,3.15461,3.32369,0.8,0.2,1.08119
13,2.73974,2.93083,-0.955467,0.8,0.2,0.890094
13.5,7.7562,6.88014,4.38032,0.8,0.2,1.76616
14,6.79657,6.9899,-0.966642,0.8,0.2,1.57283
14.5,-3.92999,-1.58873,-11.7063,0.8,0.2,-0.768433
15,-2.8038,-2.63763,-0.830852,0.8,0.2,-0.934603
15.5,-6.12802,-5.5234,-3.02309,0.8,0.2,-1.53922
16,-5.33461,-5.52629,0.958405,0.8,0.2,-1.34754
16.5,-1.61696,-2.53358,4.5831,0.8,0.2,-0.43092
17,2.00347,1.05297,4.7525,0.8,0.2,0.519581
17.5,2.59861,2.34144,1.28586,0.8,0.2,0.776752
18,-0.816542,-0.10727,-3.54636,0.8,0.2,0.0674803
18.5,1.4949,1.18122,1.56843,0.8,0.2,0.381167
19,7.75827,6.48097,6.38647,0.8,0.2,1.65846
19.5,-1.94056,-0.0904045,-9.25076,0.8,0.2,-0.191692
20,4.33996,3.43472,4.52621,0.8,0.2,0.713551
20.5,-1.97465,-0.821425,-5.76615,0.8,0.2,-0.439679
21,-9.20471,-7.57202,-8.16344,0.8,0.2,-2.07237
21.5,-1.97216,-3.29937,6.63604,0.8,0.2,-0.74516
22,-2.92546,-3.07476,0.746496,0.8,0.2,-0.595861
22.5,7.52496,5.34543,10.8976,0.8,0.2,1.58367
23,-0.425384,0.887146,-6.56264,0.8,0.2,0.271138
23.5,3.88858,3.31541,2.86587,0.8,0.2,0.844312
24,-0.314522,0.495895,-4.05209,0.8,0.2,0.0338945
24.5,-4.46472,-3.46921,-4.97756,0.8,0.2,-0.961618
25,0.959527,-0.0223823,4.90954,0.8,0.2,0.0202907
25.5,3.81573,3.05014,3.82797,0.8,0.2,0.785884
26,-1.6434,-0.626107,-5.08648,0.8,0.2,-0.231412
26.5,-3.1642,-2.67972,-2.42239,0.8,0.2,-0.71589
27,0.779286,0.0158949,3.81696,0.8,0.2,0.047501
27.5,-4.5826,-3.65815,-4.62224,0.8,0.2,-0.876947
28,5.71586,3.75337,9.81248,0.8,0.2,1.08555
28.5,2.5235,2.87803,-1.77264,0.8,0.2,0.731022
29,5.56144,5.09786,2.3179,0.8,0.2,1.1946
29.5,-4.79319,-2.69552,-10.4884,0.8,0.2,-0.90307
30,-6.59036,-5.9017,-3.4433,0.8,0.2,-1.59173
30.5,0.695741,-0.782921,7.39331,0.8,0.2,-0.113069
31,-5.60774,-4.65408,-4.76828,0.8,0.2,-1.06673
31.5,4.44313,2.51701,9.63057,0.8,0.2,0.859389
32,4.42138,4.12645,1.47467,0.8,0.2,1.15432
32.5,-0.391641,0.627409,-5.09525,0.8,0.2,0.135274
33,0.705336,0.703278,0.0102901,0.8,0.2,0.137332
33.5,1.54182,1.38785,0.769877,0.8,0.2,0.291307
34,3.84367,3.38164,2.31017,0.8,0.2,0.753342
34.5,-0.510357,0.343375,-4.26867,0.8,0.2,-0.100391
35,-2.59519,-2.01752,-2.88837,0.8,0.2,-0.678065
35.5,-2.57394,-2.53046,-0.217388,0.8,0.2,-0.721543
36,-10.2084,-8.745,-7.31722,0.8,0.2,-2.18499
36.5,-1.39797,-3.08588,8.43952,0.8,0.2,-0.497082
37,3.13516,1.84125,6.46958,0.8,0.2,0.796835
37.5,5.52833,4.87059,3.28866,0.8,0.2,1.45457
38,3.96478,4.2914,-1.6331,0.8,0.2,1.12795
38.5,5.33779,5.24131,0.482412,0.8,0.2,1.22443
39,1.95737,2.7366,-3.89615,0.8,0.2,0.445201
39.5,-3.62628,-2.30919,-6.58548,0.8,0.2,-0.871896
40,0.893019,0.165388,3.63815,0.8,0.2,-0.144265
40.5,-3.893,-3.09575,-3.98625,0.8,0.2,-0.941516
41,-5.63061,-5.21779,-2.06411,0.8,0.2,-1.35434
41.5,-7.06692,-6.83253,-1.17196,0.8,0.2,-1.58873
42,0.886509,-0.816172,8.5134,0.8,0.2,0.113951
42.5,-1.11647,-1.04502,-0.357278,0.8,0.2,0.042495
43,5.98331,4.58189,7.00708,0.8,0.2,1.44391
43.5,7.86382,7.35182,2.55997,0.8,0.2,1.9559
44,5.91302,6.39637,-2.41676,0.8,0.2,1.47255
44.5,0.919734,2.16232,-6.21291,0.8,0.2,0.229971
45,-2.01056,-1.15299,-4.28786,0.8,0.2,-0.627602
45.5,0.23525,-0.105157,1.70204,0.8,0.2,-0.287194
46,-9.7877,-7.87991,-9.53895,0.8,0.2,-2.19498
46.5,-2.42911,-3.73877,6.54829,0.8,0.2,-0.885325
47,-3.76475,-3.84809,0.416683,0.8,0.2,-0.801989
47.5,-1.86951,-2.34543,2.37957,0.8,0.2,-0.326075
48,2.66309,1.62878,5.17155,0.8,0.2,0.708235
48.5,6.08181,5.26202,4.09891,0.8,0.2,1.52802
49,6.00061,6.00569,-0.0254245,0.8,0.2,1.52293
49.5,2.77846,3.5762,-3.9887,0.8,0.2,0.725192
50,2.30745,2.63372,-1.63134,0.8,0.2,0.398923
50.5,1.44358,1.7215,-1.3896,0.8,0.2,0.121002
51,-5.83884,-4.31467,-7.62083,0.8,0.2,-1.40316
51.5,-6.58558,-6.27171,-1.56933,0.8,0.2,-1.71703
52,-0.930864,-2.17074,6.19936,0.8,0.2,-0.477157
52.5,-9.3915,-7.99506,-6.98219,0.8,0.2,-1.87359
53,3.14669,0.730976,12.0785,0.8,0.2,0.542115
53.5,4.45138,3.76151,3.44935,0.8,0.2,1.23198
54,4.8615,4.7647,0.483991,0.8,0.2,1.32878
54.5,4.85454,4.96945,-0.574547,0.8,0.2,1.21387
55,-0.0207365,1.09869,-5.59713,0.8,0.2,0.0944486
55.5,2.6203,2.32542,1.47438,0.8,0.2,0.389325
56,-4.48034,-3.08026,-7.00042,0.8,0.2,-1.01076
56.5,-1.74183,-2.11059,1.84381,0.8,0.2,-0.641998
57,1.49132,0.706741,3.92291,0.8,0.2,0.142585
57.5,-7.53794,-5.87474,-8.31597,0.8,0.2,-1.52061
58,-2.72308,-3.50547,3.91197,0.8,0.2,-0.738216
58.5,1.92203,0.762706,5.79661,0.8,0.2,0.421106
59,0.568229,0.649235,-0.405031,0.8,0.2,0.3401
59.5,6.59879,5.44289,5.77951,0.8,0.2,1.496
60,3.44953,3.9978,-2.74136,0.8,0.2,0.94773
60.5,1.95691,2.45986,-2.51476,0.8,0.2,0.444778
61,-6.09424,-4.33894,-8.77649,0.8,0.2,-1.31052
61.5,-2.85291,-3.28117,2.14129,0.8,0.2,-0.882262
62,0.621229,-0.247476,4.34353,0.8,0.2,-0.0135562
62.5,-0.0227188,-0.0690259,0.231536,0.8,0.2,0.0327509
63,0.124411,0.0889984,0.177061,0.8,0.2,0.0681632
63.5,2.60194,2.10617,2.47886,0.8,0.2,0.563936
64,-2.70586,-1.68706,-5.094,0.8,0.2,-0.454865
64.5,-2.71304,-2.55333,-0.798544,0.8,0.2,-0.614573
65,6.95271,4.99004,9.81332,0.8,0.2,1.34809
65.5,-0.77992,0.508881,-6.44401,0.8,0.2,0.0592898
66,2.31139,1.95681,1.77286,0.8,0.2,0.413862
66.5,-6.15182,-4.4887,-8.31556,0.8,0.2,-1.24925
67,-1.22223,-2.00045,3.8911,0.8,0.2,-0.47103
67.5,-4.40995,-3.97515,-2.17399,0.8,0.2,-0.905828
68,1.6273,0.416227,6.05537,0.8,0.2,0.305246
68.5,10.1878,8.264,9.61894,0.8,0.2,2.22903
69,-0.417182,1.54196,-9.7957,0.8,0.2,0.269894
69.5,2.21703,2.109,0.540122,0.8,0.2,0.377918
70,-4.00874,-2.7474,-6.3067,0.8,0.2,-0.883422
70.5,-0.460262,-1.00603,2.72885,0.8,0.2,-0.337652
71,-4.3164,-3.68809,-3.14154,0.8,0.2,-0.965961
71.5,1.05639,0.0109,5.22746,0.8,0.2,0.079532
72,0.325072,0.270191,0.274406,0.8,0.2,0.134413
72.5,-6.47183,-5.10999,-6.80923,0.8,0.2,-1.22743
73,-0.0884328,-1.21549,5.63527,0.8,0.2,-0.100379
73.5,3.73988,2.73877,5.00556,0.8,0.2,0.900733
74,5.21521,4.80999,2.02607,0.8,0.2,1.30595
74.5,6.39359,6.20746,0.930619,0.8,0.2,1.49207
75,3.891,4.5035,-3.0625,0.8,0.2,0.879571
75.5,-2.82153,-1.26857,-7.76482,0.8,0.2,-0.673393
76,-7.75768,-6.5272,-6.15241,0.8,0.2,-1.90388
76.5,-5.50954,-5.90346,1.9696,0.8,0.2,-1.50996
77,-0.242422,-1.52562,6.41602,0.8,0.2,-0.226753
77.5,-4.28351,-3.7546,-2.6445,0.8,0.2,-0.755654
78,1.44812,0.332013,5.58056,0.8,0.2,0.360457
78.5,3.14175,2.61585,2.6295,0.8,0.2,0.886358
79,0.834197,1.27916,-2.22483,0.8,0.2,0.441393
79.5,5.05249,4.34197,3.55263,0.8,0.2,1.15192
80,8.72856,7.96644,3.81064,0.8,0.2,1.91405
80.5,1.1847,2.73245,-7.73876,0.8,0.2,0.366296
81,-1.29839,-0.455588,-4.21399,0.8,0.2,-0.476502
81.5,-6.8458,-5.61541,-6.15196,0.8,0.2,-1.70689
82,-6.31018,-6.34191,0.158675,0.8,0.2,-1.67516
82.5,-6.10285,-6.31818,1.07664,0.8,0.2,-1.45983
83,-4.30014,-4.84973,2.74795,0.8,0.2,-0.91024
83.5,8.23082,5.52368,13.5357,0.8,0.2,1.79689
84,-1.96137,-0.284671,-8.3835,0.8,0.2,0.120194
84.5,6.87473,5.45487,7.09931,0.8,0.2,1.54006
85,6.58399,6.51217,0.359087,0.8,0.2,1.61187
85.5,1.92217,3.00136,-5.39593,0.8,0.2,0.532686
86,1.92357,2.1924,-1.34413,0.8,0.2,0.26386
86.5,-2.02936,-1.15862,-4.35368,0.8,0.2,-0.606878
87,-4.21923,-3.6678,-2.75717,0.8,0.2,-1.15831
87.5,-7.7723,-7.06723,-3.52535,0.8,0.2,-1.86338
88,-5.2971,-5.83746,2.70183,0.8,0.2,-1.32302
